cnpj;razao_social;nome_fantasia;end_logradouro;end_numero;end_complemento;end_bairro;mun_descricao;end_uf;end_cep;telefone1;telefone2;telefone3;qtde_func;faixa_faturamento;cnae;cnae_denominacao;pri_produto;e-mail;site;principal_executivo;cargo;cadastro;atualizacao;Endereço;geolocalizacao;latitude;longitude
02.119.258/0002-18;Fertipar Fertilizantes do Nordeste Ltda;Fertipar;Via Matoim;S/N;CIA Norte;Distrito Industrial;Candeias;BA;43813000;(41) 3026-9009;;;213;500.000.001,00 a 1.000.000.000,00;C2013402;Fabricação de adubos e fertilizantes, exceto organominerais;Adubo e fertilizante;controladoria@fertipar.com.br;www.fertipar.com.br;Alceu Feldmann;Presidente;2000-08-21 00:00:00;2023-03-21 00:00:00;Via Matoim, S/N, CIA Norte, Distrito Industrial, Candeias, BA;Distrito Industrial, Candeias - BA, 43820-270, Brazil;-12.6654769;-38.5311981
01.002.047/0003-19;Plumatex Colchoes Industrial Ltda;Plumatex;Rod BA-522 Km 01;S/N;;Distrito Industrial;Candeias;BA;43813000;(71) 2108-6300;(62) 4014-1644;(62) 4014-1616;176;50.000.001,00 a 100.000.000,00;C3104700;Fabricação de colchões;Colchao de espuma, Colchao de mola, Lamina poliuretano, Cama acoplada, Colchobox;recepcaoba@plumatex.com.br;www.plumatex.com.br;Rafael Miguel de Melo;Diretor Comercial;2000-08-22 00:00:00;2022-10-14 00:00:00;Rod BA-522 Km 01, S/N, Distrito Industrial, Candeias, BA;BA-522, Bahia, Brazil;-12.6678095;-38.5497377
61.156.501/0086-45;Mosaic Fertilizantes do Brasil Ltda;Mosaic;Rod BA-522 Km 01;S/N;Cx Postal 22;Distrito Industrial;Candeias;BA;43813000;(71) 3118-2165;(71) 3118-2150;;29;25.000.001,00 a 50.000.000,00;C2013402;Fabricação de adubos e fertilizantes, exceto organominerais;Adubo e fertilizante (NPK), Adubo e fertilizante (PK), Cloreto de potassio coarse e standart 60% K2O, Adubo e fertilizante (NK), Ureia 45% N, Superfosfato simples;;www.mosaicco.com.br;Floris Eduard Alexsander Bielders;Presidente;2000-08-22 00:00:00;2022-09-19 00:00:00;Rod BA-522 Km 01, S/N, Cx Postal 22, Distrito Industrial, Candeias, BA;BA-522, Bahia, Brazil;-12.6678095;-38.5497377
27.515.154/0012-25;Proquigel Quimica S/A;Policarbonatos;Via Matoim;S/N;Fazenda Caroba;Distrito Industrial;Candeias;BA;43813000;(71) 3878-6550;;;260;1.000.000.001,00 a 9.999.999.999,00;C2022300;Fabricação de intermediários para plastificantes, resinas e fibras;Metacrilato de metila (MMA), Metacrilato de etila (EMA), Sulfato de amonio (SA), Cianeto de sodio (NaCn);mauro.duarte@unigel.com.br;www.unigel.com.br;Roberto Noronha Santos;Presidente;2000-10-04 00:00:00;2023-11-22 00:00:00;Via Matoim, S/N, Fazenda Caroba, Distrito Industrial, Candeias, BA;R. do Passé, 22 - Centro, Candeias - BA, 43805-090, Brazil;-12.6726357;-38.5430763
02.402.478/0001-73;Unigel Plasticos S/A;Unigel;Via Matoim;S/N;Fazenda Caroba;Distrito Industrial;Candeias;BA;43813000;(71) 3878-6334;(71) 3878-6335;;15;50.000.001,00 a 100.000.000,00;C2229399;Fabricação de artefatos de material plástico para outros usos não especificados anteriormente;Chapa acrilica, Chapa acrilica extrusada, Resina perola, Resina granulada;mauro.duarte@unigel.com.br;www.unigel.com.br;Roberto Noronha Santos;Presidente;2000-10-04 00:00:00;2023-07-14 00:00:00;Via Matoim, S/N, Fazenda Caroba, Distrito Industrial, Candeias, BA;R. do Passé, 22 - Centro, Candeias - BA, 43805-090, Brazil;-12.6726357;-38.5430763
60.435.351/0017-14;Dow Brasil Industria e Comercio de Produtos Quimicos Ltda;Dow Brasil;Via Matoim;S/N;Rotula 3;Distrito Industrial;Candeias;BA;43813000;(71) 3649-5000;(71) 3649-5145;(71) 3649-5426;220;1.000.000.001,00 a 9.999.999.999,00;C2029100;Fabricação de produtos químicos orgânicos não especificados anteriormente;Oxido de propeno, Propileno glicol (MPG + DPG);cvargens@dow.com;www.dow.com;Gregore Ton Oliveira;Diretor de Producao;2000-10-17 00:00:00;2022-08-05 00:00:00;Via Matoim, S/N, Rotula 3, Distrito Industrial, Candeias, BA;Distrito Industrial, Candeias - BA, 43820-270, Brazil;-12.6654769;-38.5311981
01.055.418/0001-69;NMS Servicos Ltda;NMS;Rod BA-522 Km 07;S/N;;Distrito Industrial;Candeias;BA;43813000;(71) 2108-9575;(71) 98659-1190;;11;1.500.001,00 a 3.000.000,00;C1623400;Fabricação de artefatos de tanoaria e de embalagens de madeira;Palete, Caixa de madeira;nmsltda@gmail.com;;Luana Dantas da Luz Santos;Socia Gerente;2002-03-14 00:00:00;2024-01-02 00:00:00;Rod BA-522 Km 07, S/N, Distrito Industrial, Candeias, BA;BA-522, Bahia, Brazil;-12.6678095;-38.5497377
01.551.923/0001-02;Lazal Estruturas Metalicas Ltda;Lazal;Rodovia do Asfalto Candeias Sao Sebastiao do Passe;920;;Distrito Industrial;Candeias;BA;43813300;(71) 3339-5948;(71) 3339-5923;(71) 98870-1646;10;720.001,00 a 1.500.000,00;C2521700;Fabricação de tanques, reservatórios metálicos e caldeiras para aquecimento central;Tanque, Reservatorio, Estrutura metalica;registroslegais@petrobahia.com.br;www.petrobahia.com.br;Joao Manoel Ramos D Amaral;Socio Administrador;2012-07-19 00:00:00;2023-07-04 00:00:00;Rodovia do Asfalto Candeias Sao Sebastiao do Passe, 920, Distrito Industrial, Candeias, BA;Distrito Industrial, Candeias - BA, 43820-270, Brazil;-12.6654769;-38.5311981
00.331.788/0020-81;Air Liquide Brasil Ltda;Air Liquide;Estrada Matoim, Rotula 3;S/N;;Distrito Industrial;Candeias;BA;43813000;(71) 3191-1991;;;7;720.001,00 a 1.500.000,00;C2014200;Fabricação de gases industriais;Nitrogenio medicinal, Oxigenio medicinal, Oxigenio, Nitrogenio industrial;cristiana.silva@airliquide.com;www.airliquide.com.br;Fernando Bononi Junior;Diretor Administrativo Financeiro;2013-12-18 00:00:00;2023-02-24 00:00:00;Estrada Matoim, Rotula 3, S/N, Distrito Industrial, Candeias, BA;Distrito Industrial, Candeias - BA, 43820-270, Brazil;-12.6654769;-38.5311981
10.441.875/0001-82;UTE MC2 Camacari 1 S/A;UTE MC2 Camacari 1 S/A;Via Matoim, Braco BC;S/N;Parte I;Distrito Industrial;Candeias;BA;43813000;(71) 3525-8050;;;170;1.500.001,00 a 3.000.000,00;D3511501;Geração de energia elétrica;Captacao de energia;;;Fernando Teixeira Alves;Coordenador de Engenharia;2013-04-11 00:00:00;;Via Matoim, Braco BC, S/N, Parte I, Distrito Industrial, Candeias, BA;Distrito Industrial, Candeias - BA, 43820-270, Brazil;-12.6654769;-38.5311981
60.479.813/0001-38;Graftech Brasil Participacoes Ltda;Graftech;Rod BA-522 Km 07;S/N;;Distrito Industrial;Candeias;BA;43813300;(71) 2108-9480;(71) 2108-9616;;37;250.000.001,00 a 500.000.000,00;C2790201;Fabricação de eletrodos, contatos e outros artigos de carvão e grafita para uso elétrico, eletroímãs e isoladores;Eletrodo de grafita, Niple de grafita;graftechbrasil_nfe@graftech.com;www.graftech.com;Ualace Carvalho Marques Porto;Presidente;2014-05-09 00:00:00;2023-10-24 00:00:00;Rod BA-522 Km 07, S/N, Distrito Industrial, Candeias, BA;BA-522, Bahia, Brazil;-12.6678095;-38.5497377
17.848.459/0001-42;Sol Placas Ltda;Sol Placas;Rodovia BA-522;S/N;Fazenda Mamao;Distrito Industrial;Candeias;BA;43813300;(75) 99921-3339;;;1;0,00 a 120.000,00;C3299003;Fabricação de letras, letreiros e placas de qualquer material, exceto luminosos;Placa automotiva;solplacas71@gmail.com;;Maria Soledade Alcantara de Almeida;Proprietaria;2015-03-06 00:00:00;2023-08-24 00:00:00;Rodovia BA-522, S/N, Fazenda Mamao, Distrito Industrial, Candeias, BA;BA-522, Bahia, Brazil;-12.6678095;-38.5497377
12.901.925/0001-92;ERB Aratinga S/A (Em Recuperacao Judicial);ERB Agroflorestal;Rodovia Matoim;S/N;Rotula 3;Distrito Industrial;Candeias;BA;43813000;(11) 94502-6186;(71) 3204-0550;(71) 99815-3396;60;100.000.001,00 a 250.000.000,00;D3530100;Produção e distribuição de vapor, água quente e ar condicionado;Energia eletrica por queima de biomassa;notifica@erbrasil.com.br;www.erbrasil.com.br;Denrik Paoli de Jesus;Diretor de Operacoes;2015-04-28 00:00:00;2023-05-11 00:00:00;Rodovia Matoim, S/N, Rotula 3, Distrito Industrial, Candeias, BA;Distrito Industrial, Candeias - BA, 43820-270, Brazil;-12.6654769;-38.5311981
22.266.175/0046-80;Fertilizantes Heringer S/A;Heringer;Rodovia BR-324;7131;Km 30 ao 39 Cx Postal 99;Distrito Industrial;Candeias;BA;43813400;(71) 3878-7000;(71) 3878-7007;;167;50.000.001,00 a 100.000.000,00;C2013402;Fabricação de adubos e fertilizantes, exceto organominerais;Formulacao de fertilizantes 02-20-20, 04-14-08, 20-00-20 entre outros;silvio.silva@heringer.com.br;www.heringer.com.br;Thiago Ferreira;Gerente Comercial;2015-05-06 00:00:00;2022-10-27 00:00:00;Rodovia BR-324, 7131, Km 30 ao 39 Cx Postal 99, Distrito Industrial, Candeias, BA;Rod. Eng. Vasco Filho, 7131 - 30 ao 39 cx - Lot. Recanto dos Eucaliptos, Simões Filho - BA, 43700-000, Brazil;-12.7597801;-38.4259476
11.181.610/0001-55;J C Bulcao Inspecoes Tecnicas;Bulcao Inspecoes;Rod BA-552;S/N;Andar 1, Sala 24;Distrito Industrial;Candeias;BA;43813300;(71) 3605-4449;(71) 98203-0319;;8;120.001,00 a 720.000,00;C3311200;Manutenção e reparação de tanques, reservatórios metálicos e caldeiras, exceto para veículos;Manutencao e reparacao de caldeiras;jcbulcao@hotmail.com.br;www.jcbulcao.com.br;Julio Bulcao;Proprietario;2017-05-18 00:00:00;2022-11-08 00:00:00;Rod BA-552, S/N, Andar 1, Sala 24, Distrito Industrial, Candeias, BA;R. Bahia - Nova Candeias, Candeias - BA, 43815-200, Brazil;-12.6642217;-38.5354328
12.447.077/0001-93;Brasil Asfaltos Ltda;Brasil Asfaltos Ltda;Rod BA-522 Km 1;S/N;;Distrito Industrial;Candeias;BA;43813300;(71) 3118-2100;(71) 3118-2107;;39;250.000.001,00 a 500.000.000,00;C2099199;Fabricação de outros produtos químicos não especificados anteriormente;Aditivo para microrrevestimento, Asfalto modificado, Dope de adesividade de asfaltos, Emulsoes asfalticas modificadas e convencionais, Asfalto morno;contabilidade@brasquimica.com.br;www.brasquimica.com.br;Debora Pinon Lucas;Socia;2017-05-23 00:00:00;2023-04-06 00:00:00;Rod BA-522 Km 1, S/N, Distrito Industrial, Candeias, BA;BA-522, Bahia, Brazil;-12.6678095;-38.5497377
00.117.842/0005-51;Cibrafertil Companhia Brasileira de Fertilizantes;Cibra;Via Matoim;S/N;Braco BC - CIA Norte;Distrito Industrial;Candeias;BA;43813000;(71) 2202-4200;(71) 2202-4255;;43;500.000.001,00 a 1.000.000.000,00;C2013402;Fabricação de adubos e fertilizantes, exceto organominerais;Misturas de NPK, NP e PK;walderique.oliveira@cibra.com;www.cibra.com;Santiago Franco Jaramillo;Diretor Presidente;2016-08-16 00:00:00;2023-03-22 00:00:00;Via Matoim, S/N, Braco BC - CIA Norte, Distrito Industrial, Candeias, BA;Distrito Industrial, Candeias - BA, 43820-270, Brazil;-12.6654769;-38.5311981
10.508.162/0001-99;Companhia Energetica Candeias;Companhia Energetica Candeias;Via Matoim;S/N;;Distrito Industrial;Candeias;BA;43813000;(71) 3555-5950;(71) 3273-5300;(71) 3555-5992;41;250.000.001,00 a 500.000.000,00;D3511501;Geração de energia elétrica;Energia termoeletrica;comprascandeias@cec-termoeletrica.com.br;www.globalparticipacoesenergia.com.br;Jarbas Rodrigues Benevides;Diretor Financeiro;2018-03-16 00:00:00;2023-04-19 00:00:00;Via Matoim, S/N, Distrito Industrial, Candeias, BA;Distrito Industrial, Candeias - BA, 43820-270, Brazil;-12.6654769;-38.5311981
07.066.019/0001-80;Fertimar Mineracao e Navegacao S/A;PrimaSea;Via Candeias, BA-522 Km 6;S/N;Galpao A, Cx Postal 180;Distrito Industrial;Candeias;BA;43813000;(71) 3342-1985;(71) 99605-2728;(71) 99994-0588;60;25.000.001,00 a 50.000.000,00;B0891600;Extração de minerais para fabricação de adubos, fertilizantes e outros produtos químicos;Adubo organico, Nutrientes para racao animal, Fertilizante;ronne.furlan@primasea.com.br;www.primasea.com.br;Jose Camelo Silveira Neto;CEO;2018-04-16 00:00:00;2022-10-26 00:00:00;Via Candeias, BA-522 Km 6, S/N, Galpao A, Cx Postal 180, Distrito Industrial, Candeias, BA;BA-522, 10 - Nova Brasília, Candeias - BA, 43813, Brazil;-12.6643605;-38.5289193
12.901.925/0021-36;ERB Aratinga S/A (Em Recuperacao Judicial);ERB Agroflorestal;Via Matoim;S/N;Rotula 3;Distrito Industrial;Candeias;BA;43813000;(71) 3204-0550;(71) 99930-7078;(71) 98153-3968;39;3.000.001,00 a 6.000.000,00;C1629301;Fabricação de artefatos diversos de madeira, exceto móveis;Energia eletrica por queima de biomassa;fiscal@erbrasil.com.br;www.erbrasil.com.br;Jacqueline Vercosa de Oliveira;Diretora Estatutaria;2018-06-20 00:00:00;2023-09-14 00:00:00;Via Matoim, S/N, Rotula 3, Distrito Industrial, Candeias, BA;Distrito Industrial, Candeias - BA, 43820-270, Brazil;-12.6654769;-38.5311981
